Blocks: '[-1160:139:601:16, -1159:139:601:1, -1160:139:602:14, -1159:139:602:159:10,
  -1158:139:602:159:6, -1157:139:602:16, -1177:139:603:159:11, -1176:139:603:1, -1175:139:603:159:11,
  -1160:139:603:159:11, -1159:139:603:172, -1158:139:603:159:9, -1157:139:603:159:10,
  -1156:139:603:172, -1159:139:604:159:3, -1158:139:604:159:13, -1157:139:604:159:14,
  -1156:139:604:172, -1159:139:605:159:9, -1158:139:605:172, -1157:139:605:159:10,
  -1156:139:605:159:13, -1167:139:606:159:13, -1166:139:606:159:10, -1165:139:606:159:13,
  -1159:139:606:159:10, -1158:139:606:172, -1157:139:606:159:11, -1156:139:606:159:13,
  -1169:139:607:16, -1168:139:607:159:3, -1167:139:607:159:14, -1166:139:607:159:3,
  -1165:139:607:159:10, -1158:139:607:1, -1157:139:607:16, -1156:139:607:159:11, -1169:139:608:159:11,
  -1168:139:608:159:11, -1167:139:608:159:3, -1166:139:608:159:10, -1165:139:608:159:9,
  -1169:139:609:15, -1168:139:609:159, -1167:139:609:159, -1166:139:609:159:13, -1165:139:609:159:10,
  -1168:139:610:159:10, -1167:139:610:159:11, -1166:139:610:159:3, -1165:139:610:1,
  -1177:139:616:159:4, -1176:139:616:172, -1159:139:619:159:3, -1158:139:619:159,
  -1157:139:619:159, -1159:139:620:159:14, -1158:139:620:15, -1157:139:620:159:9,
  -1156:139:620:159:13, -1159:139:621:159:4, -1158:139:621:159:10, -1157:139:621:159:3,
  -1160:140:601:159:3, -1159:140:601:172, -1160:140:602:159:6, -1159:140:602:159:10,
  -1158:140:602:159:10, -1157:140:602:159, -1177:140:603:159:13, -1176:140:603:159:3,
  -1175:140:603:159:14, -1160:140:603:159:11, -1159:140:603:159:11, -1158:140:603:159:13,
  -1157:140:603:159:11, -1156:140:603:14, -1160:140:604:159:10, -1159:140:604:159:9,
  -1158:140:604:159:14, -1157:140:604:159:10, -1156:140:604:1, -1159:140:605:14, -1158:140:605:159:10,
  -1157:140:605:159:13, -1156:140:605:159:9, -1168:140:606:159:13, -1167:140:606:159:6,
  -1166:140:606:172, -1165:140:606:159:3, -1159:140:606:159:9, -1158:140:606:159,
  -1157:140:606:1, -1156:140:606:159:3, -1169:140:607:159:10, -1168:140:607:1, -1167:140:607:159:13,
  -1166:140:607:159:3, -1165:140:607:159:4, -1158:140:607:159:3, -1157:140:607:159:11,
  -1156:140:607:159:10, -1169:140:608:172, -1168:140:608:159:11, -1167:140:608:159:3,
  -1166:140:608:16, -1165:140:608:159:10, -1169:140:609:172, -1168:140:609:159:9,
  -1167:140:609:159:11, -1166:140:609:159:11, -1165:140:609:159, -1164:140:609:159:13,
  -1168:140:610:159:11, -1167:140:610:159:11, -1166:140:610:159, -1165:140:610:159:9,
  -1177:140:616:159:10, -1176:140:616:159:3, -1158:140:618:172, -1157:140:618:1, -1175:140:619:159:14,
  -1159:140:619:159:14, -1158:140:619:159, -1157:140:619:1, -1156:140:619:16, -1159:140:620:159:13,
  -1158:140:620:16, -1157:140:620:1, -1156:140:620:159:4, -1159:140:621:159:10, -1158:140:621:159:10,
  -1157:140:621:159:11, -1156:140:621:16, -1160:141:600:159, -1160:141:601:1, -1159:141:601:1,
  -1158:141:601:1, -1157:141:601:159:3, -1156:141:601:159:14, -1160:141:602:159:10,
  -1159:141:602:159:9, -1158:141:602:159:10, -1157:141:602:159, -1156:141:602:159,
  -1177:141:603:1, -1176:141:603:14, -1175:141:603:159:9, -1160:141:603:159:13, -1159:141:603:172,
  -1158:141:603:159:6, -1157:141:603:159:13, -1156:141:603:159:10, -1160:141:604:16,
  -1159:141:604:159:3, -1158:141:604:159:9, -1157:141:604:159:13, -1156:141:604:159:9,
  -1160:141:605:159:3, -1159:141:605:159:9, -1158:141:605:159:9, -1157:141:605:159:9,
  -1156:141:605:1, -1155:141:605:159:14, -1168:141:606:159:10, -1167:141:606:159:6,
  -1166:141:606:159:14, -1165:141:606:159:4, -1159:141:606:159:9, -1158:141:606:159:14,
  -1157:141:606:16, -1156:141:606:159:9, -1155:141:606:1, -1169:141:607:1, -1168:141:607:1,
  -1167:141:607:159:9, -1166:141:607:159, -1165:141:607:159:14, -1164:141:607:159:11,
  -1158:141:607:14, -1157:141:607:1, -1156:141:607:159:10, -1169:141:608:16, -1168:141:608:159:9,
  -1167:141:608:159:11, -1166:141:608:159, -1165:141:608:172, -1169:141:609:172, -1168:141:609:159:11,
  -1167:141:609:16, -1166:141:609:159:11, -1165:141:609:14, -1164:141:609:14, -1169:141:610:1,
  -1168:141:610:159:10, -1167:141:610:159:3, -1166:141:610:159, -1165:141:610:1, -1177:141:615:159:9,
  -1177:141:616:159, -1176:141:616:159, -1175:141:616:159:13, -1178:141:617:172, -1177:141:617:1,
  -1176:141:617:159:11, -1175:141:618:159, -1158:141:618:16, -1157:141:618:1, -1176:141:619:15,
  -1175:141:619:172, -1159:141:619:159, -1158:141:619:1, -1157:141:619:172, -1156:141:619:159,
  -1159:141:620:159:9, -1158:141:620:172, -1157:141:620:159, -1156:141:620:159, -1159:141:621:159:10,
  -1158:141:621:159:9, -1157:141:621:159:9, -1156:141:621:159:3, -1160:142:600:159:10,
  -1159:142:600:159:10, -1156:142:600:159:4, -1160:142:601:159:11, -1159:142:601:159:3,
  -1158:142:601:16, -1157:142:601:159:4, -1156:142:601:159:13, -1175:142:602:159:3,
  -1160:142:602:159:3, -1159:142:602:159:3, -1158:142:602:15, -1157:142:602:159:13,
  -1156:142:602:172, -1177:142:603:159, -1176:142:603:1, -1175:142:603:159:10, -1160:142:603:159:9,
  -1159:142:603:159:4, -1158:142:603:159:9, -1157:142:603:159:11, -1156:142:603:159:13,
  -1177:142:604:159:10, -1176:142:604:159:11, -1175:142:604:1, -1160:142:604:1, -1159:142:604:172,
  -1158:142:604:159:10, -1157:142:604:16, -1156:142:604:159:9, -1160:142:605:1, -1159:142:605:159:14,
  -1158:142:605:159:14, -1157:142:605:159:9, -1156:142:605:159:10, -1155:142:605:159:9,
  -1169:142:606:14, -1168:142:606:159:3, -1167:142:606:16, -1166:142:606:159:9, -1165:142:606:1,
  -1159:142:606:159:13, -1158:142:606:159:13, -1157:142:606:1, -1156:142:606:159:14,
  -1155:142:606:159:3, -1169:142:607:172, -1168:142:607:159:6, -1167:142:607:14, -1166:142:607:15,
  -1165:142:607:159:13, -1164:142:607:159:13, -1158:142:607:1, -1157:142:607:159,
  -1156:142:607:159:11, -1169:142:608:172, -1168:142:608:159:9, -1167:142:608:159:11,
  -1166:142:608:172, -1165:142:608:14, -1164:142:608:1, -1169:142:609:159:13, -1168:142:609:159:13,
  -1167:142:609:16, -1166:142:609:15, -1165:142:609:159:10, -1164:142:609:172, -1169:142:610:1,
  -1168:142:610:159:9, -1167:142:610:159:11, -1166:142:610:172, -1165:142:610:14,
