Blocks: '[-30:65:-20:1:4, -29:65:-20:1:4, -28:65:-20:1:4, -31:65:-19:1:4, -30:65:-19:1:4,
  -29:65:-19:1:4, -28:65:-19:1:4, -27:65:-19:1:4, -32:65:-18:1:4, -31:65:-18:1:4,
  -30:65:-18:1:4, -29:65:-18:1:4, -28:65:-18:1:4, -27:65:-18:1:4, -26:65:-18:1:4,
  -32:65:-17:1:4, -31:65:-17:1:4, -30:65:-17:1:4, -29:65:-17:1:4, -28:65:-17:1:4,
  -27:65:-17:1:4, -26:65:-17:1:4, -32:65:-16:1:4, -31:65:-16:1:4, -30:65:-16:1:4,
  -29:65:-16:1:4, -28:65:-16:1:4, -27:65:-16:1:4, -26:65:-16:1:4, -31:65:-15:1:4,
  -30:65:-15:1:4, -29:65:-15:1:4, -28:65:-15:1:4, -27:65:-15:1:4, -30:65:-14:1:4,
  -29:65:-14:1:4, -28:65:-14:1:4, -30:66:-20:12, -29:66:-20:12, -28:66:-20:12, -1:66:-20:3,
  0:66:-20:3, 1:66:-20:3, 2:66:-20:3, 3:66:-20:3, -31:66:-19:12, -30:66:-19:12, -29:66:-19:12,
  -28:66:-19:12, -27:66:-19:12, -2:66:-19:3, -1:66:-19:3, 0:66:-19:3, 1:66:-19:3,
  2:66:-19:3, 3:66:-19:3, 4:66:-19:3, -32:66:-18:12, -31:66:-18:12, -30:66:-18:12,
  -29:66:-18:12, -28:66:-18:12, -27:66:-18:12, -26:66:-18:12, -2:66:-18:3, -1:66:-18:3,
  0:66:-18:3, 1:66:-18:3, 2:66:-18:3, 3:66:-18:3, 4:66:-18:3, -32:66:-17:12, -31:66:-17:12,
  -30:66:-17:12, -29:66:-17:12, -28:66:-17:12, -27:66:-17:12, -26:66:-17:12, -2:66:-17:3,
  -1:66:-17:3, 0:66:-17:3, 1:66:-17:3, 2:66:-17:3, 3:66:-17:3, 4:66:-17:3, -32:66:-16:12,
  -31:66:-16:12, -30:66:-16:12, -29:66:-16:12, -28:66:-16:12, -27:66:-16:12, -26:66:-16:12,
  -2:66:-16:3, -1:66:-16:3, 0:66:-16:3, 1:66:-16:3, 2:66:-16:3, 3:66:-16:3, 4:66:-16:3,
  -31:66:-15:12, -30:66:-15:12, -29:66:-15:12, -28:66:-15:12, -27:66:-15:12, -2:66:-15:3,
  -1:66:-15:3, 0:66:-15:3, 1:66:-15:3, 2:66:-15:3, 3:66:-15:3, 4:66:-15:3, -30:66:-14:12,
  -29:66:-14:12, -28:66:-14:12, -1:66:-14:3, 0:66:-14:3, 1:66:-14:3, 2:66:-14:3, 3:66:-14:3,
  -32:66:10:88, -31:66:10:88, -30:66:10:88, -29:66:10:88, -28:66:10:88, -27:66:10:87,
  -26:66:10:87, 0:66:10:121, 1:66:10:121, 2:66:10:121, -32:66:11:88, -31:66:11:88,
  -30:66:11:87, -29:66:11:87, -28:66:11:87, -27:66:11:87, -26:66:11:87, -1:66:11:121,
  0:66:11:121, 1:66:11:121, 2:66:11:121, 3:66:11:121, -32:66:12:88, -31:66:12:88,
  -30:66:12:88, -29:66:12:87, -28:66:12:87, -27:66:12:87, -26:66:12:87, -2:66:12:121,
  -1:66:12:121, 0:66:12:121, 1:66:12:121, 2:66:12:121, 3:66:12:121, 4:66:12:121, -32:66:13:88,
  -31:66:13:88, -30:66:13:88, -29:66:13:87, -28:66:13:87, -27:66:13:87, -26:66:13:88,
  -2:66:13:121, -1:66:13:121, 0:66:13:121, 1:66:13:121, 2:66:13:121, 3:66:13:121,
  4:66:13:121, -32:66:14:87, -31:66:14:87, -30:66:14:87, -29:66:14:87, -28:66:14:87,
  -27:66:14:87, -26:66:14:88, -2:66:14:121, -1:66:14:121, 0:66:14:121, 1:66:14:121,
  2:66:14:121, 3:66:14:121, 4:66:14:121, -32:66:15:87, -31:66:15:87, -30:66:15:87,
  -29:66:15:87, -28:66:15:88, -27:66:15:88, -26:66:15:88, -1:66:15:121, 0:66:15:121,
  1:66:15:121, 2:66:15:121, 3:66:15:121, -32:66:16:87, -31:66:16:87, -30:66:16:88,
  -29:66:16:88, -28:66:16:88, -27:66:16:88, -26:66:16:88, 0:66:16:121, 1:66:16:121,
  2:66:16:121, -31:67:-21:1:4, -30:67:-21:1:4, -29:67:-21:1:4, -28:67:-21:1:4, -27:67:-21:1:4,
  -1:67:-21:1:4, 0:67:-21:1:4, 1:67:-21:1:4, 2:67:-21:1:4, 3:67:-21:1:4, -32:67:-20:1:4,
  -31:67:-20:1:4, -30:67:-20:12, -29:67:-20:12, -28:67:-20:12, -27:67:-20:1:4, -26:67:-20:1:4,
  -2:67:-20:1:4, -1:67:-20:3, 0:67:-20:3, 1:67:-20:3, 2:67:-20:3, 3:67:-20:3, 4:67:-20:1:4,
  -33:67:-19:1:4, -32:67:-19:1:4, -31:67:-19:12, -30:67:-19:12, -29:67:-19:12, -28:67:-19:12,
  -27:67:-19:12, -26:67:-19:1:4, -25:67:-19:1:4, -3:67:-19:1:4, -2:67:-19:3, -1:67:-19:3,
  0:67:-19:3, 1:67:-19:3, 2:67:-19:3, 3:67:-19:3, 4:67:-19:3, 5:67:-19:1:4, -33:67:-18:1:4,
  -32:67:-18:12, -31:67:-18:12, -30:67:-18:12, -29:67:-18:12, -28:67:-18:12, -27:67:-18:12,
  -26:67:-18:12, -25:67:-18:1:4, -3:67:-18:1:4, -2:67:-18:3, -1:67:-18:3, 0:67:-18:3,
  1:67:-18:3, 2:67:-18:3, 3:67:-18:3, 4:67:-18:3, 5:67:-18:1:4, -33:67:-17:1:4, -32:67:-17:12,
  -31:67:-17:12, -30:67:-17:12, -29:67:-17:12, -28:67:-17:12, -27:67:-17:12, -26:67:-17:12,
  -25:67:-17:1:4, -3:67:-17:1:4, -2:67:-17:3, -1:67:-17:3, 0:67:-17:3, 1:67:-17:3,
  2:67:-17:3, 3:67:-17:3, 4:67:-17:3, 5:67:-17:1:4, -33:67:-16:1:4, -32:67:-16:12,
  -31:67:-16:12, -30:67:-16:12, -29:67:-16:12, -28:67:-16:12, -27:67:-16:12, -26:67:-16:12,
  -25:67:-16:1:4, -3:67:-16:1:4, -2:67:-16:3, -1:67:-16:3, 0:67:-16:3, 1:67:-16:3,
  2:67:-16:3, 3:67:-16:3, 4:67:-16:3, 5:67:-16:1:4, -33:67:-15:1:4, -32:67:-15:1:4,
  -31:67:-15:12, -30:67:-15:12, -29:67:-15:12, -28:67:-15:12, -27:67:-15:12, -26:67:-15:1:4,
  -25:67:-15:1:4, -3:67:-15:1:4, -2:67:-15:3, -1:67:-15:3, 0:67:-15:3, 1:67:-15:3,
  2:67:-15:3, 3:67:-15:3, 4:67:-15:3, 5:67:-15:1:4, -32:67:-14:1:4, -31:67:-14:1:4,
  -30:67:-14:12, -29:67:-14:12, -28:67:-14:12, -27:67:-14:1:4, -26:67:-14:1:4, -2:67:-14:1:4,
  -1:67:-14:3, 0:67:-14:3, 1:67:-14:3, 2:67:-14:3, 3:67:-14:3, 4:67:-14:1:4, -31:67:-13:1:4,
  -30:67:-13:1:4, -29:67:-13:1:4, -28:67:-13:1:4, -27:67:-13:1:4, -1:67:-13:1:4, 0:67:-13:1:4,
  1:67:-13:1:4, 2:67:-13:1:4, 3:67:-13:1:4, -32:67:9:1:4, -31:67:9:1:4, -30:67:9:1:4,
  -29:67:9:1:4, -28:67:9:1:4, -27:67:9:1:4, -26:67:9:1:4, -1:67:9:1:4, 0:67:9:1:4,
  1:67:9:1:4, 2:67:9:1:4, 3:67:9:1:4, -33:67:10:1:4, -32:67:10:88, -31:67:10:88, -30:67:10:88,
  -29:67:10:87, -28:67:10:87, -27:67:10:87, -26:67:10:87, -25:67:10:1:4, -2:67:10:1:4,
  -1:67:10:1:4, 0:67:10:121, 1:67:10:121, 2:67:10:121, 3:67:10:1:4, 4:67:10:1:4, -33:67:11:1:4,
  -32:67:11:87, -31:67:11:87, -30:67:11:87, -29:67:11:87, -28:67:11:87, -27:67:11:87,
  -26:67:11:87, -25:67:11:1:4, -3:67:11:1:4, -2:67:11:1:4, -1:67:11:121, 0:67:11:121,
  1:67:11:121, 2:67:11:121, 3:67:11:121, 4:67:11:1:4, 5:67:11:1:4, -33:67:12:1:4,
  -32:67:12:88, -31:67:12:87, -30:67:12:87, -29:67:12:88, -28:67:12:87, -27:67:12:87,
  -26:67:12:87, -25:67:12:1:4, -3:67:12:1:4, -2:67:12:121, -1:67:12:121, 0:67:12:121,
  1:67:12:121, 2:67:12:121, 3:67:12:121, 4:67:12:121, 5:67:12:1:4, -33:67:13:1:4,
  -32:67:13:87, -31:67:13:87, -30:67:13:87, -29:67:13:88, -28:67:13:88, -27:67:13:88,
  -26:67:13:87, -25:67:13:1:4, -3:67:13:1:4, -1:67:13:121, 0:67:13:121, 1:67:13:121,
  2:67:13:121, 3:67:13:121, 4:67:13:121, 5:67:13:1:4, -33:67:14:1:4, -32:67:14:87,
  -31:67:14:87, -30:67:14:87, -29:67:14:87, -28:67:14:88, -27:67:14:88, -26:67:14:87,
  -25:67:14:1:4, -3:67:14:1:4, -2:67:14:121, -1:67:14:121, 0:67:14:121, 1:67:14:121,
  2:67:14:121, 3:67:14:121, 4:67:14:121, 5:67:14:1:4, -33:67:15:1:4, -32:67:15:87,
  -31:67:15:87, -30:67:15:87, -29:67:15:87, -28:67:15:88, -27:67:15:88, -26:67:15:88,
  -25:67:15:1:4, -3:67:15:1:4, -2:67:15:1:4, -1:67:15:121, 0:67:15:121, 1:67:15:121,
  2:67:15:121, 3:67:15:121, 4:67:15:1:4, 5:67:15:1:4, -33:67:16:1:4, -32:67:16:87,
  -31:67:16:87, -30:67:16:87, -29:67:16:88, -28:67:16:88, -27:67:16:88, -26:67:16:88,
  -25:67:16:1:4, -2:67:16:1:4, -1:67:16:1:4, 0:67:16:121, 1:67:16:121, 2:67:16:121,
  3:67:16:1:4, 4:67:16:1:4, -32:67:17:1:4, -31:67:17:1:4, -30:67:17:1:4, -29:67:17:1:4,
  -28:67:17:1:4, -27:67:17:1:4, -26:67:17:1:4, -1:67:17:1:4, 0:67:17:1:4, 1:67:17:1:4,
  2:67:17:1:4, 3:67:17:1:4, -31:68:-21:12, -30:68:-21:12, -29:68:-21:12, -28:68:-21:12,
