Blocks: '[0:86:2:3, 4:87:-37:1, 0:87:2:3, 4:88:-37:1, -37:88:-4:1, 0:88:2:3, 38:88:4:1,
  4:89:-37:1, -40:89:-5:1, -39:89:-5:1, -37:89:-4:1, 2:89:-3:3, 3:89:-1:3, 3:89:0:3,
  2:89:1:3, 0:89:2:3, 0:89:3:3, 38:89:4:1, 1:89:40:1, 1:89:42:1, 1:89:43:1, 4:90:-39:1,
  4:90:-37:1, -40:90:-5:1, -39:90:-5:1, -38:90:-5:1, -39:90:-4:1, -37:90:-4:1, 1:90:-3:3,
  2:90:-3:3, 3:90:-3:3, -3:90:-2:3, -1:90:-2:3, 0:90:-2:3, 2:90:-2:3, 1:90:-1:3, 3:90:-1:3,
  1:90:0:3, 2:90:0:3, 3:90:0:3, -2:90:1:3, 0:90:1:3, 2:90:1:3, 0:90:2:3, 1:90:2:3,
  2:90:2:3, 0:90:3:3, 1:90:3:3, 38:90:4:1, 1:90:40:1, -1:90:42:1, 1:90:42:1, 1:90:43:1,
  4:91:-40:1, 2:91:-39:1, 3:91:-39:1, 4:91:-39:1, 5:91:-39:1, 2:91:-38:1, 3:91:-38:1,
  4:91:-38:1, 5:91:-38:1, 2:91:-37:1, 4:91:-37:1, 5:91:-37:1, -40:91:-5:1, -39:91:-5:1,
  -38:91:-5:1, -37:91:-5:1, -40:91:-4:1, -39:91:-4:1, -37:91:-4:1, -36:91:-4:1, -4:91:-4:89,
  -2:91:-4:3, 0:91:-4:3, 1:91:-4:3, 2:91:-4:3, 4:91:-4:89, -39:91:-3:1, -37:91:-3:1,
  -3:91:-3:3, -2:91:-3:3, -1:91:-3:3, 0:91:-3:3, 1:91:-3:3, 2:91:-3:3, 3:91:-3:3,
  -38:91:-2:1, -3:91:-2:3, -2:91:-2:3, -1:91:-2:3, 0:91:-2:3, 1:91:-2:3, 2:91:-2:3,
  3:91:-2:3, -3:91:-1:3, -2:91:-1:3, -1:91:-1:3, 0:91:-1:3, 1:91:-1:3, 2:91:-1:3,
  3:91:-1:3, -3:91:0:3, -2:91:0:3, -1:91:0:3, 0:91:0:3, 1:91:0:3, 2:91:0:3, 3:91:0:3,
  4:91:0:3, -3:91:1:3, -2:91:1:3, -1:91:1:3, 0:91:1:3, 1:91:1:3, 2:91:1:3, 3:91:1:3,
  4:91:1:3, 5:91:1:3, -3:91:2:3, -2:91:2:3, -1:91:2:3, 0:91:2:3, 1:91:2:3, 2:91:2:3,
  3:91:2:3, 4:91:2:3, -2:91:3:3, -1:91:3:3, 0:91:3:3, 1:91:3:3, 2:91:3:3, 3:91:3:3,
  39:91:3:1, -4:91:4:89, 1:91:4:3, 4:91:4:89, 37:91:4:1, 38:91:4:1, 39:91:4:1, 37:91:5:1,
  38:91:5:1, 1:91:39:1, 0:91:40:1, 1:91:40:1, -2:91:41:1, -1:91:41:1, 1:91:41:1, -1:91:42:1,
  0:91:42:1, 1:91:42:1, 1:91:43:1, 0:92:-40:44:8, 1:92:-40:44:8, 2:92:-40:44:8, 3:92:-40:1,
  4:92:-40:1, 5:92:-40:1, -1:92:-39:44, 0:92:-39:44, 1:92:-39:44, 2:92:-39:1, 3:92:-39:1,
  4:92:-39:1, 5:92:-39:1, 6:92:-39:1, -1:92:-38:44, 0:92:-38:44, 1:92:-38:44, 2:92:-38:1,
  3:92:-38:1, 4:92:-38:1, 5:92:-38:1, 6:92:-38:1, -1:92:-37:44, 0:92:-37:44, 1:92:-37:44,
  2:92:-37:1, 3:92:-37:1, 4:92:-37:1, 5:92:-37:1, 6:92:-37:1, 3:92:-36:1, 4:92:-36:1,
  5:92:-36:1, 1:92:-7:44, -39:92:-6:1, -38:92:-6:1, -37:92:-6:1, -1:92:-6:44, 0:92:-6:44,
  1:92:-6:44, -40:92:-5:1, -39:92:-5:1, -38:92:-5:1, -37:92:-5:1, -36:92:-5:1, -3:92:-5:44,
  -2:92:-5:44, -1:92:-5:44:5, 0:92:-5:44:5, 1:92:-5:44:5, 2:92:-5:44, 3:92:-5:44,
  -40:92:-4:1, -39:92:-4:1, -38:92:-4:1, -37:92:-4:1, -36:92:-4:1, -4:92:-4:44, -3:92:-4:44:5,
  -2:92:-4:44:5, -1:92:-4:44:5, 0:92:-4:44:5, 1:92:-4:44:5, 2:92:-4:44:5, 3:92:-4:44:5,
  4:92:-4:44, -40:92:-3:1, -39:92:-3:1, -38:92:-3:1, -37:92:-3:1, -36:92:-3:1, -5:92:-3:44,
  -4:92:-3:44:5, -3:92:-3:44:13, -2:92:-3:44:13, -1:92:-3:44:13, 0:92:-3:44:13, 1:92:-3:44:13,
  2:92:-3:44:13, 3:92:-3:44:13, 4:92:-3:44:5, 5:92:-3:44, -40:92:-2:44:8, -39:92:-2:1,
  -38:92:-2:1, -37:92:-2:1, -5:92:-2:44, -4:92:-2:44:5, -3:92:-2:44:13, -2:92:-2:2,
  -1:92:-2:2, 0:92:-2:2, 1:92:-2:2, 2:92:-2:2, 3:92:-2:44:13, 4:92:-2:44:5, 5:92:-2:44,
  -40:92:-1:44:8, -39:92:-1:44, -38:92:-1:44, -37:92:-1:44, -36:92:-1:44, -6:92:-1:44,
  -5:92:-1:44:5, -4:92:-1:44:5, -3:92:-1:44:13, -2:92:-1:2, -1:92:-1:2, 1:92:-1:2,
  2:92:-1:2, 3:92:-1:44:13, 4:92:-1:44:5, 5:92:-1:44:5, 6:92:-1:44, 37:92:-1:44, 38:92:-1:44,
  39:92:-1:44, -40:92:0:44:8, -39:92:0:44, -38:92:0:44, -37:92:0:44, -6:92:0:44, -5:92:0:44:5,
  -4:92:0:44:5, -3:92:0:44:13, -2:92:0:2, 0:92:0:3, 2:92:0:2, 3:92:0:44:13, 4:92:0:44:5,
  5:92:0:44:5, 6:92:0:44, 7:92:0:44, 37:92:0:44, 38:92:0:44, 39:92:0:44, 40:92:0:44:8,
