Blocks: '[-7:45:-7:1, 7:45:-7:1, -7:45:7:1, -7:46:-7:1, -6:46:-7:1, 7:46:-7:1, -7:46:-6:1,
  -8:46:7:1, -7:46:7:1, -8:46:8:1, -7:46:8:1, 8:46:8:1, -8:47:-7:1, -7:47:-7:1, -6:47:-7:1,
  6:47:-7:1, 7:47:-7:1, -7:47:-6:1, -6:47:-6:1, 7:47:-6:1, -8:47:6:1, -7:47:6:1, -8:47:7:1,
  -7:47:7:1, 7:47:7:3, 8:47:7:1, -9:47:8:1, -8:47:8:1, -7:47:8:1, -6:47:8:1, 7:47:8:1,
  8:47:8:3, 9:47:8:1, -7:47:9:1, 8:47:9:1, -8:48:-8:3, -7:48:-8:3, -6:48:-8:3, 7:48:-8:3,
  -8:48:-7:3, -7:48:-7:3, -6:48:-7:3, 6:48:-7:3, 7:48:-7:3, 8:48:-7:3, 9:48:-7:3,
  -8:48:-6:1, -7:48:-6:3, -6:48:-6:1, 6:48:-6:1, 7:48:-6:3, 8:48:-6:3, 7:48:-5:3,
  -7:48:5:3, -9:48:6:1, -8:48:6:3, -7:48:6:3, 6:48:6:3, 7:48:6:3, -9:48:7:3, -8:48:7:3,
  -7:48:7:3, -6:48:7:3, 6:48:7:1, 7:48:7:3, 8:48:7:3, 9:48:7:1, -9:48:8:1, -8:48:8:3,
  -7:48:8:3, -6:48:8:1, 6:48:8:1, 7:48:8:3, 8:48:8:3, 9:48:8:1, -7:48:9:1, 7:48:9:1,
  8:48:9:1, -7:49:-9:3, -6:49:-9:3, -9:49:-8:3, -8:49:-8:3, -7:49:-8:3, -6:49:-8:3,
  6:49:-8:3, 7:49:-8:3, 8:49:-8:3, -9:49:-7:3, -8:49:-7:3, -7:49:-7:3, -6:49:-7:3,
  -5:49:-7:3, 5:49:-7:3, 6:49:-7:3, 7:49:-7:3, 8:49:-7:3, 9:49:-7:3, -8:49:-6:3, -7:49:-6:3,
  -6:49:-6:3, -5:49:-6:3, 5:49:-6:3, 6:49:-6:3, 7:49:-6:3, 8:49:-6:3, 9:49:-6:3, -7:49:-5:3,
  7:49:-5:3, -8:49:5:3, -7:49:5:3, 7:49:5:3, 8:49:5:3, -9:49:6:3, -8:49:6:3, -7:49:6:3,
  -6:49:6:3, -5:49:6:3, 6:49:6:3, 7:49:6:3, 8:49:6:3, -9:49:7:3, -8:49:7:3, -7:49:7:3,
  -6:49:7:3, -5:49:7:3, 5:49:7:3, 6:49:7:3, 7:49:7:3, 8:49:7:3, 9:49:7:3, -9:49:8:1,
  -8:49:8:3, -7:49:8:3, -6:49:8:3, 6:49:8:3, 7:49:8:3, 8:49:8:3, 9:49:8:1, -7:49:9:1,
  7:49:9:3, 8:49:9:3, -8:50:-9:3, -7:50:-9:3, -6:50:-9:3, 6:50:-9:3, 7:50:-9:3, 8:50:-9:3,
  -9:50:-8:3, -8:50:-8:98, -7:50:-8:98, -6:50:-8:98, -5:50:-8:3, 5:50:-8:3, 6:50:-8:98,
  7:50:-8:98, 8:50:-8:98, 9:50:-8:3, -9:50:-7:3, -8:50:-7:98, -7:50:-7:98, -6:50:-7:98,
  -5:50:-7:3, 5:50:-7:3, 6:50:-7:98, 7:50:-7:98, 8:50:-7:98, 9:50:-7:3, -9:50:-6:3,
  -8:50:-6:98, -7:50:-6:98, -6:50:-6:98, -5:50:-6:3, 5:50:-6:3, 6:50:-6:98, 7:50:-6:98,
  8:50:-6:98, 9:50:-6:3, -8:50:-5:3, -7:50:-5:3, -6:50:-5:3, 6:50:-5:3, 7:50:-5:3,
