Blocks: '[72:58:80:20, -2:70:-6:1:1, -1:70:-6:3:1, -3:70:-5:1:1, -2:70:-5:1:1, -1:70:-5:3:1,
  0:70:-5:172, 1:70:-5:172, -3:70:-4:1:1, -2:70:-4:1:1, -1:70:-4:172, 0:70:-4:172,
  1:70:-4:172, 2:70:-4:172, 3:70:-4:172, -3:70:-3:1:1, -2:70:-3:172, -1:70:-3:172,
  0:70:-3:172, 1:70:-3:172, 2:70:-3:172, 3:70:-3:172, 4:70:-3:3:1, 5:70:-3:1:1, -4:70:-2:1:1,
  -3:70:-2:1:1, -2:70:-2:172, -1:70:-2:172, 0:70:-2:172, 1:70:-2:172, 2:70:-2:172,
  3:70:-2:1:1, 4:70:-2:1:1, 5:70:-2:1:1, 6:70:-2:1:1, -4:70:-1:1:1, -3:70:-1:3:1,
  -2:70:-1:172, -1:70:-1:172, 0:70:-1:172, 1:70:-1:172, 2:70:-1:1:1, 3:70:-1:1:1,
  4:70:-1:1:1, 5:70:-1:1:1, 6:70:-1:3:1, 7:70:-1:3:1, -5:70:0:1:1, -4:70:0:3:1, -3:70:0:3:1,
  -2:70:0:172, -1:70:0:172, 0:70:0:172, 1:70:0:3:1, 2:70:0:3:1, 3:70:0:1:1, 4:70:0:172,
  5:70:0:172, 6:70:0:172, 7:70:0:3:1, -5:70:1:1:1, -4:70:1:3:1, -3:70:1:172, -2:70:1:172,
  -1:70:1:172, 0:70:1:172, 1:70:1:172, 2:70:1:172, 3:70:1:3:1, 4:70:1:172, 5:70:1:172,
  6:70:1:172, -5:70:2:172, -4:70:2:172, -3:70:2:172, -2:70:2:172, -1:70:2:172, 0:70:2:172,
  1:70:2:172, 2:70:2:172, 3:70:2:172, 4:70:2:172, -5:70:3:172, -4:70:3:172, -3:70:3:172,
  -2:70:3:172, -1:70:3:172, 0:70:3:172, 1:70:3:172, 2:70:3:3:1, 3:70:3:1:1, 4:70:3:1:1,
  -3:70:4:172, -2:70:4:172, -1:70:4:172, 0:70:4:172, 1:70:4:3:1, 2:70:4:3:1, 3:70:4:1:1,
  -1:70:5:172, 0:70:5:172, 1:70:5:3:1, 2:70:5:1:1, 3:70:5:1:1, -1:70:6:172, 0:70:6:172,
  1:70:6:172, 2:70:6:1:1, 1:70:7:172, 2:70:7:1:1, 0:71:-8:172, 1:71:-8:172, -3:71:-7:1:1,
  -2:71:-7:1:1, -1:71:-7:3:1, 0:71:-7:172, 1:71:-7:172, 2:71:-7:172, -3:71:-6:1:1,
  -2:71:-6:1:1, -1:71:-6:172, 0:71:-6:172, 1:71:-6:172, 2:71:-6:172, -3:71:-5:1:1,
  -2:71:-5:1:1, -1:71:-5:172, 0:71:-5:172, 1:71:-5:172, 2:71:-5:172, 3:71:-5:172,
  -3:71:-4:1:1, -2:71:-4:1:1, -1:71:-4:172, 0:71:-4:172, 1:71:-4:172, 2:71:-4:172,
  3:71:-4:172, -5:71:-3:1:1, -4:71:-3:1:1, -3:71:-3:1:1, -2:71:-3:1:1, -1:71:-3:172,
  0:71:-3:172, 1:71:-3:172, 2:71:-3:172, 3:71:-3:172, 4:71:-3:1:1, 5:71:-3:1:1, 6:71:-3:1:1,
