Blocks: '[489:174:91:1, 546:174:92:1, 488:174:150:1, 546:174:150:1, 516:175:82:1,
  489:175:91:1, 546:175:92:1, 556:175:120:1, 478:175:122:1, 488:175:150:1, 546:175:150:1,
  518:175:160:1, 516:176:82:1, 489:176:91:1, 546:176:92:1, 556:176:120:1, 478:176:122:1,
  488:176:150:1, 546:176:150:1, 518:176:160:1, 516:177:82:1, 489:177:90:1, 489:177:91:1:2,
  490:177:91:1, 489:177:92:1:3, 545:177:92:1:3, 546:177:92:1:2, 547:177:92:1, 546:177:93:1,
  513:177:114:1, 556:177:120:1, 478:177:122:1, 519:177:124:1, 488:177:149:1, 546:177:149:1:3,
  487:177:150:1, 488:177:150:1:2, 489:177:150:1:3, 545:177:150:1, 546:177:150:1:2,
  546:177:151:1, 518:177:160:1, 515:178:82:1, 516:178:82:1:2, 517:178:82:1, 516:178:83:1,
  489:178:90:1, 488:178:91:1, 489:178:91:1:2, 490:178:91:1, 546:178:91:1, 489:178:92:15,
  545:178:92:15, 546:178:92:1:2, 547:178:92:1, 546:178:93:1, 513:178:114:1, 556:178:119:1,
  555:178:120:1, 556:178:120:1:2, 478:178:121:1, 556:178:121:1, 478:178:122:1:2, 479:178:122:1,
  478:178:123:1, 519:178:124:1:2, 514:178:130:16, 488:178:149:1, 546:178:149:15, 487:178:150:1,
  488:178:150:1:2, 489:178:150:15, 545:178:150:1, 546:178:150:1:2, 547:178:150:1,
  488:178:151:1, 546:178:151:1, 518:178:159:1, 517:178:160:1, 518:178:160:1:2, 519:178:160:1,
  516:179:81:1:2, 515:179:82:1, 516:179:82:1, 517:179:82:1, 516:179:83:1, 489:179:90:14,
  488:179:91:1, 489:179:91:1, 490:179:91:1, 546:179:91:1, 489:179:92:1:1, 545:179:92:1:1,
  546:179:92:1, 547:179:92:14, 546:179:93:1, 513:179:114:1, 556:179:119:1, 555:179:120:1,
  556:179:120:1, 557:179:120:1:2, 478:179:121:1, 556:179:121:1, 477:179:122:1:2, 478:179:122:1,
  479:179:122:1, 478:179:123:1, 519:179:124:15, 514:179:130:1, 488:179:149:1, 546:179:149:1:1,
  487:179:150:14, 488:179:150:1, 489:179:150:1:1, 545:179:150:1, 546:179:150:1, 547:179:150:1,
  488:179:151:1, 546:179:151:14, 518:179:159:1, 517:179:160:1, 518:179:160:1, 519:179:160:1,
  518:179:161:1:2, 516:180:81:16, 515:180:82:1, 516:180:82:1, 517:180:82:1, 516:180:83:1,
  488:180:90:1:2, 489:180:90:1, 490:180:90:1, 488:180:91:1, 489:180:91:1, 490:180:91:1,
  545:180:91:1, 546:180:91:1, 547:180:91:1:2, 488:180:92:1, 489:180:92:1, 490:180:92:1:1,
  545:180:92:1, 546:180:92:1, 547:180:92:1, 545:180:93:1:1, 546:180:93:1, 547:180:93:1,
  513:180:114:1:1, 556:180:119:1, 555:180:120:1, 556:180:120:1, 557:180:120:16, 478:180:121:1,
  556:180:121:1, 477:180:122:16, 478:180:122:1, 479:180:122:1, 478:180:123:1, 519:180:123:1,
  518:180:124:1, 519:180:124:1:1, 514:180:130:1, 487:180:149:1, 488:180:149:1, 489:180:149:1:1,
  545:180:149:1:1, 546:180:149:1, 547:180:149:1, 487:180:150:1, 488:180:150:1, 489:180:150:1,
  545:180:150:1, 546:180:150:1, 547:180:150:1, 487:180:151:1:2, 488:180:151:1, 489:180:151:1,
  545:180:151:1, 546:180:151:1, 547:180:151:1:2, 518:180:159:1, 517:180:160:1, 518:180:160:1,
  519:180:160:1, 518:180:161:16, 515:181:81:1, 516:181:81:1, 517:181:81:1, 515:181:82:1,
  516:181:82:1, 517:181:82:1, 515:181:83:1, 516:181:83:1, 517:181:83:16, 489:181:89:1,
